timestamp,distributedRewards,apr,cash
2024-05-21T08:01:54.0,637594853594,20.94,30538833360385
2024-05-21T08:11:54.0,637716520863,20.94,30538955027654
2024-05-21T08:12:18.0,637721387573,20.94,30538989894364
2024-05-21T08:21:00.0,637827238640,20.94,30511243108070
2024-05-21T08:21:54.0,637838178801,20.94,30511254048231
2024-05-21T08:32:00.0,637960951768,20.94,30511376821198
2024-05-21T08:41:54.0,638081294071,20.94,30513853895519
2024-05-21T08:42:06.0,638083725426,20.94,30513856326874
2024-05-21T08:43:42.0,638103176267,20.94,30663875777715
2024-05-21T08:46:06.0,638132495972,20.94,30661857841132
2024-05-21T08:52:12.0,638207011987,20.94,30661932357147
2024-05-21T09:02:12.0,638329169685,20.94,30662054514845
2024-05-21T09:12:12.0,638451327870,20.94,30662176673030
2024-05-21T09:22:18.0,638574708128,20.94,30662300053288
2024-05-21T09:32:18.0,638696867291,20.94,30662422212451
2024-05-21T09:42:24.0,638820248537,20.94,30662545593697
2024-05-21T09:46:48.0,638873998999,20.94,30657481077123
2024-05-21T09:52:30.0,638943618778,20.94,30657550696902
2024-05-21T10:02:30.0,639065759019,20.94,30657672837143
2024-05-21T10:04:12.0,639086522942,20.94,30659241642771
2024-05-21T10:12:36.0,639189126404,20.94,30659344246233
2024-05-21T10:22:42.0,639312495265,20.94,30659467615094
2024-05-21T10:32:48.0,639435864622,20.94,30659590984451
2024-05-21T10:42:48.0,639558012992,20.94,30659713132821
2024-05-21T10:52:54.0,639681383337,20.94,30659836503166
2024-05-21T11:02:54.0,639803532685,20.94,30659958652514
2024-05-21T11:13:00.0,639926904018,20.94,30660082023847
2024-05-21T11:23:00.0,640049054344,20.84,30660204174173
2024-05-21T11:29:24.0,640126857528,20.84,30661738066238
2024-05-21T11:33:06.0,640171839744,20.94,30661783048454
2024-05-21T11:43:12.0,640295218418,20.94,30661906427128
2024-05-21T11:53:12.0,640417376013,20.94,30662028584723
2024-05-21T11:55:24.0,640444250791,20.94,30661032209835
2024-05-21T12:03:18.0,640540752539,20.84,30661128711583
2024-05-21T12:13:18.0,640662323680,20.84,30661250282724
2024-05-21T12:23:24.0,640785111020,20.74,30661373070064
2024-05-21T12:33:24.0,640906099771,20.74,30661494058815
2024-05-21T12:43:30.0,641028298892,20.84,30661616257936
2024-05-21T12:53:30.0,641149871967,20.84,30661737831011
2024-05-21T13:03:36.0,641272661259,20.74,30661860620303
2024-05-21T13:13:36.0,641393651934,20.74,30661981610978
2024-05-21T13:23:42.0,641515852998,20.63,30662103812042
2024-05-21T13:33:42.0,641636202922,20.63,30662224161966
2024-05-21T13:38:36.0,641695174616,20.63,30665283134303
2024-05-21T13:43:42.0,641756559441,20.53,30665344519128
2024-05-21T13:53:48.0,641877536442,20.63,30665465496129
2024-05-21T14:03:48.0,641997899560,20.53,30665585859247
2024-05-21T14:13:54.0,642118877513,20.53,30665706837200
2024-05-21T14:23:54.0,642238658137,20.43,30665826617824
2024-05-21T14:34:00.0,642359047761,20.43,30665947007448
2024-05-21T14:44:00.0,642478245876,20.33,30666066205563
2024-05-21T14:54:00.0,642596861006,20.33,30666184820693
2024-05-21T15:04:06.0,642716662751,20.23,30666304622438
2024-05-21T15:14:12.0,642835875676,20.13,30666423835363
2024-05-21T15:24:18.0,642954499774,20.03,30666542459461
2024-05-21T15:34:18.0,643071366373,20.03,30666659326060
2024-05-21T15:44:24.0,643189402088,19.93,30666777361775
2024-05-21T15:54:30.0,643306848960,19.93,30666894808647
2024-05-21T16:01:36.0,643389410938,19.93,30667059071283
2024-05-21T16:04:30.0,643423133617,19.83,30667092793962
2024-05-21T16:14:36.0,643539992394,19.73,30667209652739
2024-05-21T16:24:36.0,643655111124,19.63,30667324771469
2024-05-21T16:34:42.0,643770792170,19.63,30667440452515
2024-05-21T16:44:42.0,643885328291,19.53,30667554988636
2024-05-21T16:54:42.0,643999281363,19.53,30667668941708
2024-05-21T17:04:48.0,644114374393,19.43,30667784034738
2024-05-21T17:07:00.0,644139315890,19.43,30676101898316
2024-05-21T17:14:48.0,644227768818,19.43,30676190351244
2024-05-21T17:24:54.0,644342304351,19.43,30676304886777
2024-05-21T17:29:36.0,644395603263,19.43,30675812578849
2024-05-21T17:32:06.0,644423953293,19.43,30675851923006
2024-05-21T17:34:54.0,644455705367,19.43,30675883675080
2024-05-21T17:45:00.0,644570239755,19.43,30675998209468
2024-05-21T17:55:00.0,644683640562,19.43,30676111610275
2024-05-21T18:05:00.0,644797041788,19.43,30676225011501
2024-05-21T18:15:06.0,644911577450,19.43,30676339547163
2024-05-21T18:25:12.0,645026113540,19.43,30676454083253
2024-05-21T18:35:12.0,645139516032,19.43,30676567485745
2024-05-21T18:45:12.0,645252918944,19.43,30676680888657
2024-05-21T18:51:36.0,645325497076,19.43,30876753499144
2024-05-21T18:55:18.0,645367729965,19.33,30876795732033
2024-05-21T19:05:18.0,645481285608,19.33,30876909287676
2024-05-21T19:15:30.0,645597112790,19.33,30877025114858
2024-05-21T19:20:18.0,645651619903,19.33,31027079678862
2024-05-21T19:25:30.0,645710956241,19.23,31027139015200
2024-05-21T19:35:36.0,645825609666,19.23,31027253668625
2024-05-21T19:45:36.0,645939128328,19.13,31027367187287
2024-05-21T19:55:42.0,646053186370,19.03,31027481245329
2024-05-21T19:56:18.0,646059926700,19.03,31019399190379
2024-05-21T20:05:42.0,646165497707,18.93,31019504761386
2024-05-21T20:10:18.0,646216888811,18.93,31019566661778
2024-05-21T20:15:48.0,646278334819,18.83,31019628107786
2024-05-21T20:25:48.0,646389464879,18.83,31019739237846
2024-05-21T20:35:54.0,646501706642,18.83,31019851479609
2024-05-21T20:45:54.0,646612837502,18.73,31019962610469
2024-05-21T20:48:12.0,646638261949,18.73,31009753475445
2024-05-21T20:56:00.0,646724455611,18.73,31009839669107
2024-05-21T21:06:00.0,646834960614,18.63,31009950174110
2024-05-21T21:16:06.0,646945975173,18.53,31010061188669
2024-05-21T21:21:12.0,647001731333,18.53,31000086959364
2024-05-21T21:26:06.0,647055283747,18.43,31000140511778
2024-05-21T21:28:00.0,647075936941,18.43,31000365443993
2024-05-21T21:36:12.0,647165072428,18.43,31000454579480
2024-05-21T21:46:24.0,647275948597,18.33,31000565455649
2024-05-21T21:56:24.0,647384061299,18.33,31000673568351
2024-05-21T22:06:30.0,647493255509,18.23,31000782762561
2024-05-21T22:16:30.0,647600779152,18.13,31000890286204
2024-05-21T22:26:30.0,647707713349,18.03,31000997220401
2024-05-21T22:33:06.0,647777900880,18.03,30970362601960
2024-05-21T22:36:36.0,647815084759,17.93,30970399785839
2024-05-21T22:46:36.0,647920735304,17.93,30970505436384
2024-05-21T22:56:42.0,648027442719,17.93,30970612143799
2024-05-21T23:06:42.0,648133093989,17.83,30970717795069
2024-05-21T23:16:54.0,648240257622,17.83,30970824958702
2024-05-21T23:26:54.0,648345320371,17.73,30970930021451
2024-05-21T23:37:00.0,648450838965,17.63,30971035540045
2024-05-21T23:47:00.0,648554723926,17.53,30971139425006
2024-05-21T23:57:00.0,648658019982,17.53,30971242721062
2024-05-22T00:07:06.0,648762349347,17.43,30971347050427
2024-05-22T00:17:12.0,648866083914,17.43,30971450784994
2024-05-22T00:27:12.0,648968791750,17.33,30971553492830
2024-05-22T00:37:12.0,649070910665,17.33,30971655611745
2024-05-22T00:47:18.0,649174051110,17.23,30971758752190
2024-05-22T00:57:18.0,649275581437,17.23,30971860282517
2024-05-22T01:07:30.0,649379142710,17.13,30971963843790
2024-05-22T01:17:30.0,649480084441,17.13,30972064785521
2024-05-22T01:27:36.0,649582035922,17.03,30972166737002
2024-05-22T01:37:36.0,649682389042,17.03,30972267090122
2024-05-22T01:47:36.0,649782742487,16.93,30972367443567
2024-05-22T01:57:42.0,649883504625,16.83,30972468205705
2024-05-22T02:07:42.0,649982680165,16.73,30972567381245
2024-05-22T02:17:48.0,650082252608,16.73,30972666953688
2024-05-22T02:27:48.0,650180839502,16.63,30972765540582
2024-05-22T02:37:48.0,650278837426,16.63,30972863538506
2024-05-22T02:47:54.0,650377815642,16.53,30972962516722
2024-05-22T02:57:54.0,650475224901,16.53,30973059925981
2024-05-22T03:08:00.0,650573608562,16.43,30973158309642
2024-05-22T03:18:00.0,650670429146,16.33,30973255130226
2024-05-22T03:28:00.0,650766660739,16.23,30973351361819
2024-05-22T03:38:06.0,650863259762,16.23,30973447960842
2024-05-22T03:48:12.0,650959859086,16.13,30973544560166
2024-05-22T03:58:18.0,651055863520,16.13,30973640564600
2024-05-22T04:08:18.0,651150917709,16.03,30973735618789
2024-05-22T04:18:24.0,651246327539,15.93,30973831028619
2024-05-22T04:28:30.0,651341142466,15.83,30973925843546
2024-05-22T04:38:30.0,651434429613,15.83,30974019130693
2024-05-22T04:48:36.0,651528649915,15.73,30974113350995
2024-05-22T04:50:48.0,651549043563,15.73,30975113756261
2024-05-22T04:58:36.0,651621350652,15.73,30975186063350
2024-05-22T05:08:42.0,651714979280,15.63,30975279691978
2024-05-22T05:18:42.0,651807091841,15.63,30975371804539
2024-05-22T05:28:42.0,651899204676,15.53,30975463917374
2024-05-22T05:38:36.0,651989813211,15.53,30976054933846
2024-05-22T05:38:48.0,651991643721,15.43,30976056764356
2024-05-22T05:48:48.0,652082579899,15.43,30976147700534
2024-05-22T05:58:54.0,652174425709,15.43,30976239546344
2024-05-22T06:08:54.0,652265362424,15.33,30976330483059
2024-05-22T06:19:00.0,652356613530,15.33,30976421734165
2024-05-22T06:25:48.0,652418050099,15.33,30955581064445
2024-05-22T06:29:00.0,652446941974,15.23,30955609956320
2024-05-22T06:36:06.0,652510627723,15.23,30955813601835
2024-05-22T06:39:00.0,652536640383,15.13,30955839614495
2024-05-22T06:49:12.0,652627532523,15.03,30955930506635
2024-05-22T06:59:12.0,652716053762,14.93,30956019027874
2024-05-22T07:05:42.0,652773209904,14.93,30955052525411
2024-05-22T07:09:18.0,652804864625,14.83,30955084180132
2024-05-22T07:12:18.0,652831066902,14.83,30978227527379
2024-05-22T07:19:18.0,652892251258,14.83,30978288711735
2024-05-22T07:20:48.0,652905362217,14.83,30983314912262
2024-05-22T07:29:24.0,652980543914,14.73,30983390093959
2024-05-22T07:39:24.0,653067375218,14.73,30983476925263
2024-05-22T07:49:24.0,653154206765,14.63,30983627640174
2024-05-22T07:59:30.0,653241311669,14.53,30983714745078
2024-05-22T08:09:30.0,653326964898,14.43,30983800398307
2024-05-22T08:19:36.0,653412879510,14.43,30983886312919
2024-05-22T08:29:36.0,653497943718,14.33,30983971377127
2024-05-22T08:39:42.0,653583263412,14.33,30984056696821
2024-05-22T08:39:54.0,653584952915,14.33,30987058386324
2024-05-22T08:44:24.0,653622970427,14.33,30987116403915
2024-05-22T08:49:42.0,653667746692,14.23,30987161180180
2024-05-22T08:59:42.0,653751640775,14.23,30987245074263
2024-05-22T09:05:00.0,653796104759,14.23,30988502527423
2024-05-22T09:09:48.0,653836375662,14.13,30988542798326
2024-05-22T09:19:48.0,653919683902,14.03,30988626106566
2024-05-22T09:29:54.0,654003229969,13.93,30988709652633
2024-05-22T09:39:54.0,654085359482,13.93,30988791782146
2024-05-22T09:49:54.0,654167489213,13.83,30988873911877
2024-05-22T10:00:00.0,654249844975,13.83,30988956267639
2024-05-22T10:10:00.0,654331385550,13.73,30989037808214
2024-05-22T10:18:00.0,654396146507,13.73,30989809914334
2024-05-22T10:20:06.0,654413146681,13.63,30989826914508
2024-05-22T10:30:12.0,654494313966,13.53,30989908081793
2024-05-22T10:40:12.0,654574088215,13.53,30989987856042
2024-05-22T10:50:12.0,654653862670,13.43,30990067630497
2024-05-22T11:00:18.0,654733839567,13.43,30990147607394
2024-05-22T11:10:24.0,654813816671,13.33,30990227584498
2024-05-22T11:20:24.0,654892412510,13.33,30990306180337
2024-05-22T11:30:30.0,654971794509,13.23,30990385562336
2024-05-22T11:40:30.0,655049801130,13.13,30990463568957
2024-05-22T11:50:36.0,655127992498,13.03,30990541760325
2024-05-22T12:00:36.0,655204820267,13.03,30990618588094
2024-05-22T12:10:36.0,655281648227,12.93,30990695416054
2024-05-22T12:20:42.0,655358649138,12.93,30990772416965
2024-05-22T12:30:48.0,655435650240,12.83,30990849418067
2024-05-22T12:40:54.0,655512056009,12.83,30990925823836
2024-05-22T12:50:54.0,655587705472,12.73,30991001473299
2024-05-22T13:01:00.0,655663516089,12.63,30991077283916
2024-05-22T13:11:00.0,655737986657,12.53,30991151754484
2024-05-22T13:21:06.0,655812606581,12.53,30991226374408
2024-05-22T13:22:42.0,655824427587,12.53,30991539833390
2024-05-22T13:31:06.0,655886488499,12.43,30991601894302
2024-05-22T13:41:12.0,655960513968,12.43,30991675919771
2024-05-22T13:51:18.0,656034539614,12.33,30991749945417
2024-05-22T14:01:18.0,656107242863,12.23,30991822648666
2024-05-22T14:11:24.0,656180077773,12.13,30991895483576
2024-05-22T14:21:24.0,656251602067,12.13,30991967007870
2024-05-22T14:31:30.0,656323841771,12.03,30992039247574
2024-05-22T14:41:00.0,656391229997,12.03,30992344371055
2024-05-22T14:41:30.0,656394776780,11.93,30992347917838
2024-05-22T14:50:00.0,656454570901,11.93,30992539739790
2024-05-22T14:51:36.0,656465826334,11.93,30992550995223
2024-05-22T15:01:36.0,656536172820,11.93,30992621341709
2024-05-22T15:08:42.0,656586118938,11.93,30991647503234
2024-05-22T15:11:36.0,656606518824,11.83,30991667903120
